OpCode;Mnemonic;Description;Cycles;Size
0x00 ;NOP;No-operation;4;1
0x01 ;LXI B,D16;Load immediate register Pair B & C;10;3
0x02 ;STAX B;Store A indirect;7;1
0x03 ;INX B;Increment B & C registers;5;1
0x04 ;INR B;Increment register;5;1
0x05 ;DCR B;Decrement register;5;1
0x06 ;MVI B,D8;Move immediate register;7;2
0x07 ;RLC;Rotate A left;4;1
0x08 ;-;;;
0x09 ;DAD B;Add B & C to H & L;10;1
0x0a ;LDAX B;Load A indirect;7;1
0x0b ;DCX B;Decrement B & C;5;1
0x0c ;INR C;Increment register;5;1
0x0d ;DCR C;Decrement register;5;1
0x0e ;MVI C,D8;Move immediate register;7;2
0x0f ;RRC;Rotate A right;4;1
0x10;-;;;
0x11;LXI D,D16;Load immediate register Pair D & E;10;3
0x12;STAX D;Store A indirect;7;1
0x13;INX D;Increment D & E registers;5;1
0x14;INR D;Increment register;5;1
0x15;DCR D;Decrement register;5;1
0x16;MVI D,D8;Move immediate register;7;2
0x17;RAL;Rotate A left through carry;4;1
0x18;-;;;
0x19;DAD D;Add D & E to H & L;10;1
0x1a;LDAX D;Load A indirect;7;1
0x1b;DCX D;Decrement D & E;5;1
0x1c;INR E;Increment register;5;1
0x1d;DCR E;Decrement register;5;1
0x1e;MVI E,D8;Move immediate register;7;2
0x1f;RAR;Rotate A right through carry;4;1
0x20;-;;;
0x21;LXI H,D16;Load immediate register Pair H & L;10;3
0x22;SHLD adr;Store H & L direct;16;3
0x23;INX H;Increment H & L registers;5;1
0x24;INR H;Increment register;5;1
0x25;DCR H;Decrement register;5;1
0x26;MVI H,D8;Move immediate register;7;2
0x27;DAA;Decimal adjust A;4;1
0x28;-;;;
0x29;DAD H;Add H & L to H & L;10;1
0x2a;LHLD adr;Load H & L direct;16;3
0x2b;DCX H;Decrement H & L;5;1
0x2c;INR L;Increment register;5;1
0x2d;DCR L;Decrement register;5;1
0x2e;MVI L,D8;Move immediate register;7;2
0x2f;CMA;Complement A;4;1
0x30;-;;;
0x31;LXI SP,D16;Load immediate stack pointer;10;3
0x32;STA adr;Store A direct;13;3
0x33;INX SP;Increment stack pointer;5;1
0x34;INR M;Increment memory;10;1
0x35;DCR M;Decrement memory;10;1
0x36;MVI M,D8;Move immediate memory;10;2
0x37;STC;Set carry;4;1
0x38;-;;;
0x39;DAD SP;Add stack pointer to H & L;10;1
